hh_ids,m_ids,dem_i_male,dem_i_age_yrs,dem_i_age_5yrgrp,dem_i_age_workage,dem_i_relhead,dem_i_hhead,dem_i_marstat,dem_i_tribe,dem_i_children_tot,dem_i_children_inhh
"KMAKE30","63134382437700000","Female",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE30","63134382530200000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380563500000","Female",44,"[40 - 45)",1,"Household head",1,"Widowed","Kamba",6,1
"KMAKE32","63134380960800000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380715900000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380833100000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380927800000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380895600000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE32","63134380993100000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE33","63134398303000000","Male",36,"[35 - 40)",1,"Household head",1,"Never married/lived together","Kamba",,
"KMAKE33","63134398497100000","Male",28,"[25 - 30)",1,"Brother or sister",0,"Never married/lived together","Kamba",,
"KMAKE33","63134398581600000","Male",19,"[15 - 20)",1,"Brother or sister",0,"Never married/lived together","Kamba",,
"KMAKE34","63134364734600000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE34","63134364423800000","Female",42,"[40 - 45)",1,"Household head",1,"Never married/lived together","Kamba",2,0
"KMAKE34","63134364606500000","Female",72,"[65+]",0,"Parent (mother or father)",0,"Widowed","Kamba",1,0
"KMAKE34","63134364693800000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339322200000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134338838900000","Female",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339047400000","Female",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134338950500000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339142600000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134338421700000","Female",38,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",9,0
"KMAKE35","63134338685500000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339375600000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339235300000","Female",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE35","63134339444200000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE36","63134459480400000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE36","63134459383200000","Male",37,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",2,0
"KMAKE36","63134459535000000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE36","63134459271600000","Female",36,"[35 - 40)",1,"Husband or wife",0,"Married/living together","Kamba",2,0
"KMAKE37","63134459963700000","Male",30,"[30 - 35)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKE37","63134460036800000","Female",20,"[20 - 25)",1,"Son or daughter in law",0,"Married/living together","Kamba",1,0
"KMAKE37","63134460075000000","Male",1,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKE37","63134459785700000","Female",54,"[50 - 55)",1,"Household head",1,"Widowed","Kamba",1,4
"KMAKL01","65137990548300000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL01","65134328986000000","Female",25,"[25 - 30)",1,"Household head",1,"Married/living together","Kamba",4,0
"KMAKL01","65134329312700000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL01","65134329513600000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL01","65134329605000000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL01","65134329424000000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL02","65134330096200000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",3,0
"KMAKL02","65134330009200000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL02","65134571041600000","Male",29,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Kamba",3,0
"KMAKL02","65134330169500000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL02","65134329746600000","Female",28,"[25 - 30)",1,"Household head",1,"Married/living together","Kamba",0,0
"KMAKL05","65134436037500000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL05","65134435988200000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL05","65134434107500000","Male",32,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kamba",3,0
"KMAKL05","65134436089400000","Male",62,"[60 - 65)",1,"Mother or farther in law",0,"Married/living together","Kamba",1,2
"KMAKL05","65134433932100000","Female",30,"[30 - 35)",1,"Household head",1,"Married/living together","Kamba",3,0
"KMAKL05","65134435667400000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL05","65134436146900000","Female",52,"[50 - 55)",1,"Mother or farther in law",0,"Married/living together","Kamba",1,2
"KMAKL06","65134392001300000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL06","65134391909400000","Female",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL06","65134392058500000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL06","65134392146600000","Female",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL06","65134389278900000","Female",39,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",4,0
"KMAKL06","65134389522800000","Male",40,"[40 - 45)",1,"Husband or wife",0,"Married/living together","Kamba",4,0
"KMAKL07","65134372671600000","Female",65,"[65+]",0,"Household head",1,"Widowed","Kamba",0,9
"KMAKL08","65134384006800000","Female",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL08","65134384465700000","Male",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL08","65134380761700000","Female",45,"[45 - 50)",1,"Household head",1,"Married/living together","Kamba",5,3
"KMAKL08","65134384114000000","Female",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL08","65134381045000000","Male",54,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Kamba",5,3
"KMAKL09","65134384787400000","Male",10,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL09","65134381254800000","Female",59,"[55 - 60)",1,"Household head",1,"Married/living together","Kamba",1,6
"KMAKL09","65134381446700000","Male",69,"[65+]",0,"Husband or wife",0,"Married/living together","Kamba",1,6
"KMAKL09","65134384595500000","Female",9,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL10","65134383884900000","Female",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134383674700000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134381620800000","Female",38,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",6,1
"KMAKL10","65134382764500000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134383601100000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134383825600000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134383761600000","Female",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL10","65134381874200000","Male",41,"[40 - 45)",1,"Husband or wife",0,"Married/living together","Kamba",6,1
"KMAKL11","65134435448300000","Male",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL11","65134435327800000","Male",22,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL11","65134433013100000","Male",60,"[60 - 65)",1,"Husband or wife",0,"Married/living together","Kamba",2,5
"KMAKL11","65134432872600000","Female",55,"[55 - 60)",1,"Household head",1,"Married/living together","Kamba",2,5
"KMAKL12","65134392398100000","Male",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL12","65134389879300000","Male",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL12","65134510140100000","Female",24,"[20 - 25)",1,"Son or daughter in law",0,"Married/living together","Kamba",1,0
"KMAKL12","65134389716400000","Female",52,"[50 - 55)",1,"Household head",1,"Married/living together","Kamba",1,3
"KMAKL12","65134392205500000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL12","65134392329600000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL13","65134365195600000","Female",40,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",1,3
"KMAKL13","65134367186800000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL15","65134426910500000","Female",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL15","65134426843800000","Male",32,"[30 - 35)",1,"Cousin",0,"Never married/lived together","Kamba",,
"KMAKL15","65134427093200000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Married/living together","Kamba",,
"KMAKL15","65134426766200000","Female",72,"[65+]",0,"Mother or farther in law",0,"Widowed","Kamba",,
"KMAKL15","65134427158000000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL15","65134424870700000","Female",40,"[40 - 45)",1,"Household head",1,"Widowed","Kamba",3,2
"KMAKL17","65134426577800000","Female",14,"[10 - 15)",0,"Niece or nephew",0,"Never married/lived together","Kamba",,
"KMAKL17","65134426528200000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL17","65134426352800000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL17","65134423982500000","Female",31,"[30 - 35)",1,"Household head",1,"Married/living together","Kamba",3,0
"KMAKL17","65134426437700000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL17","65134426095300000","Male",7,"[5 - 10)",0,"Niece or nephew",0,"Never married/lived together","Kamba",,
"KMAKL17","65134426212200000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL17","65134426304000000","Female",1,"[0 - 5)",0,"Niece or nephew",0,"Never married/lived together","Kamba",,
"KMAKL17","65134423801800000","Female",31,"[30 - 35)",1,"Brother or sister in law",0,"Married/living together","Kamba",3,0
"KMAKL18","65134443561800000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL18","65134441084800000","Male",75,"[65+]",0,"Parent (mother or father)",0,"Married/living together","Kamba",1,7
"KMAKL18","65134440910900000","Female",37,"[35 - 40)",1,"Household head",1,"Separated/divorced","Kamba",5,0
"KMAKL18","65134443635600000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL18","65134443703500000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL18","65134441182100000","Female",60,"[60 - 65)",1,"Parent (mother or father)",0,"Married/living together","Kamba",1,7
"KMAKL19","65134441893500000","Male",60,"[60 - 65)",1,"Husband or wife",0,"Married/living together","Kamba",1,6
"KMAKL19","65134448749100000","Male",19,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL19","65134449259300000","Male",3,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL19","65134449181300000","Male",7,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL19","65134448829700000","Male",1,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL19","65134441978400000","Female",24,"[20 - 25)",1,"Step son or step daughter",0,"Married/living together","Kamba",3,0
"KMAKL19","65134449386500000","Male",1,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL19","65134448654700000","Female",23,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",1,0
"KMAKL19","65134441763900000","Female",56,"[55 - 60)",1,"Household head",1,"Married/living together","Kamba",1,6
"KMAKL21","65134433556000000","Female",45,"[45 - 50)",1,"Household head",1,"Married/living together","Kamba",1,1
"KMAKL21","65134436270300000","Male",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134370629200000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134370746200000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134367297400000","Male",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134370561200000","Male",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134370819900000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134370889800000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL22","65134363948700000","Female",33,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kamba",7,0
"KMAKL22","65134363634100000","Male",41,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",7,0
"KMAKL22","65134370457000000","Female",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL23","65134374660300000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL23","65134364671700000","Male",43,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",4,0
"KMAKL23","65134374588800000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL23","65134364863900000","Female",31,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kamba",4,0
"KMAKL23","65134374509600000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL23","65134371761500000","Female",75,"[65+]",0,"Parent (mother or father)",0,"Widowed","Kamba",1,6
"KMAKL23","65134374724400000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65138001339500000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134371300100000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134370986600000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134364392000000","Female",37,"[35 - 40)",1,"Husband or wife",0,"Married/living together","Kamba",6,0
"KMAKL24","65134371619400000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134371499900000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134364190900000","Male",38,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",6,0
"KMAKL24","65134371560500000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL24","65134371372600000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL25","65134379561700000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",0,
"KMAKL25","65134379343800000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL25","65134379507000000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL25","65134373335800000","Female",33,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kamba",5,0
"KMAKL25","65134379419000000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL25","65134379255200000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL25","65134373478500000","Female",65,"[65+]",0,"Parent (mother or father)",0,"Married/living together","Kamba",1,4
"KMAKL25","65134373122600000","Male",47,"[45 - 50)",1,"Household head",1,"Married/living together","Kamba",5,0
"KMAKL27","65134424524500000","Female",44,"[40 - 45)",1,"Household head",1,"Separated/divorced","Kamba",4,1
"KMAKL27","65134427667700000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL27","65134427841700000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL27","65134427552400000","Female",19,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL27","65134427729600000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL28","65134433289200000","Female",25,"[25 - 30)",1,"Son or daughter",0,"Never married/lived together","Kamba",1,0
"KMAKL28","65134439708200000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL28","65134439800300000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL28","65134439962600000","Female",5,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL28","65134433150300000","Female",44,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",5,1
"KMAKL28","65134439874000000","Male",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL28","65134439653200000","Female",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL29","65134442371600000","Female",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL29","65134444187100000","Male",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL29","65134444446500000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL29","65134442158600000","Female",51,"[50 - 55)",1,"Household head",1,"Married/living together","Kamba",5,6
"KMAKL29","65134444618000000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL29","65134444529600000","Male",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL32","65134392624700000","Male",4,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL32","65134392501900000","Male",8,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL32","65134390587800000","Female",55,"[55 - 60)",1,"Household head",1,"Married/living together","Kamba",2,3
"KMAKL32","65134392730600000","Female",4,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kamba",,
"KMAKL32","65134390776000000","Female",20,"[20 - 25)",1,"Son or daughter in law",0,"Never married/lived together","Kamba",,
"KMAKL32","65136066653500000","Male",61,"[60 - 65)",1,"Husband or wife",0,"Married/living together","Kamba",2,3
"KMAKL33","65134441530300000","Female",30,"[30 - 35)",1,"Household head",1,"Married/living together","Kamba",3,0
"KMAKL33","65134443854200000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL33","65134444004600000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL33","65134443933400000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL34","65134382575700000","Female",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL34","65134382641900000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL34","65134382150500000","Female",40,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",3,1
"KMAKL34","65134382364700000","Male",41,"[40 - 45)",1,"Husband or wife",0,"Married/living together","Kamba",3,1
"KMAKL34","65134382449000000","Female",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",1,0
"KMAKL36","65134430931600000","Male",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134431245900000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134431118300000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134431066600000","Male",19,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134431196600000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134431346600000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134424268800000","Female",52,"[50 - 55)",1,"Household head",1,"Married/living together","Kamba",7,3
"KMAKL36","65134431400000000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL36","65134424390400000","Male",47,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Kamba",7,3
"KMAKL37","65134396357100000","Female",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL37","65134396494300000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL37","65134396420500000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL37","65134396219600000","Male",19,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL37","65134391087600000","Female",39,"[35 - 40)",1,"Household head",1,"Married/living together","Kamba",4,0
"KMAKL38","65134330646200000","Male",34,"[30 - 35)",1,"Brother or sister in law",0,"Never married/lived together","Kamba",,
"KMAKL38","65134330815200000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL38","65134330823000000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL38","65134330487000000","Female",32,"[30 - 35)",1,"Household head",1,"Never married/lived together","Kamba",3,0
"KMAKL38","65136514080800000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL38","65134330743700000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134432359300000","Male",47,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Kamba",6,0
"KMAKL39","65134434811300000","Male",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134432169300000","Female",42,"[40 - 45)",1,"Household head",1,"Married/living together","Kamba",6,0
"KMAKL39","65134435154200000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134434716300000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134434956400000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134435082900000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL39","65134434894900000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65134444810100000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65136480701500000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65134448442600000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65134448526000000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65134444715000000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kamba",,
"KMAKL40","65134442721400000","Female",31,"[30 - 35)",1,"Household head",1,"Married/living together","Kamba",4,0
"KMOMB01","57134338787100000","Female",32,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Taita/Taveta",1,0
"KMOMB01","57136513184600000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Taita/Taveta",,
"KMOMB01","57134339147100000","Male",34,"[30 - 35)",1,"Household head",1,"Married/living together","Taita/Taveta",1,0
"KMOMB01","57134338965900000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Taita/Taveta",,
"KMOMB02","57134372057200000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KMOMB02","57134371779000000","Female",26,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Luhya",2,0
"KMOMB02","57134372270400000","Male",39,"[35 - 40)",1,"Household head",1,"Married/living together","Luhya",2,0
"KMOMB02","57134372166400000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KMOMB02","57134501966900000","Male",20,"[20 - 25)",1,"Niece or nephew",0,"Never married/lived together","Luhya",,
"KMOMB03","57134398350200000","Male",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB03","57134398896300000","Female",22,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB03","57134407874800000","Male",53,"[50 - 55)",1,"Household head",1,"Married/living together","Mijikenda/Swahili",7,0
"KMOMB03","57134407445500000","Female",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB03","57134407687800000","Female",50,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Mijikenda/Swahili",7,0
"KMOMB03","57134398597600000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB03","57134407575400000","Female",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB03","57134398136500000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Widowed","Mijikenda/Swahili",4,2
"KMOMB03","57134398459600000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Mijikenda/Swahili",,
"KMOMB04","57134363349500000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KMOMB04","57134362888100000","Male",35,"[35 - 40)",1,"Household head",1,"Married/living together","Luo",1,0
"KMOMB04","57134363181700000","Female",28,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Luhya",1,0
"KMOMB05","57134408521700000","Female",48,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Luo",2,4
"KMOMB05","57134408247700000","Male",58,"[55 - 60)",1,"Household head",1,"Married/living together","Luo",2,4
"KMOMB05","57134408811800000","Male",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Luo",,
