hh_ids,hh_int_situation,hh_circ_move_why,hh_circ_move_when,hh_circ_problems,hh_inf_wall_material,hh_inf_roof_material,hh_inf_floor_material,hh_inf_cookfuel_source,hh_inf_lighting_source,hh_inf_water_source,hh_inf_rooms_habitable,hh_inf_rooms_other,hh_inf_toilet_type,hh_inf_toilet_shared,hh_inf_housing_type,hh_inf_electricity_access,hh_inf_interiorcond,hh_inf_exteriorcond,hh_asset_internet_access,hh_asset_iron_any,hh_asset_mosqnets_N,hh_asset_towels_N,hh_asset_fryingpan_N,hh_env_settingdesc,hh_env_desc,hh_env_dilapbuildings,hh_env_streets,hh_env_trash,hh_ownership_type,hh_ownership_plotacquisition,hh_ownership_houseacquisition,hh_ownership_docu,hh_otherprop_any,hh_otherprop_N,hh_otherprop1_docu,hh_otherprop1_use,hh_otherprop1_value,hh_otherprop2_use,hh_otherprop2_value,hh_otherprop2_docu,hh_otherprop3_docu,hh_otherprop3_use,hh_otherprop3_value,hh_othershamba_N,hh_othershamba1_docu,hh_othershamba1_use,hh_othershamba1_value,hh_othershamba2_docu,hh_othershamba2_use,hh_othershamba2_value,hh_othershamba3_docu,hh_othershamba3_use,hh_othershamba3_value
"KELDK32","01=Initial questionnaire","07=New job or job transfer",11/1/2010,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Purchased firewood","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",1,0,1,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","bushy paths","98=None",3,,,,"Yes",1,"01=No written agreement","02=Used by friends and family",80000,"",,"","","",,,"","",,"","",,"","",
"KELDK33","01=Initial questionnaire","07=New job or job transfer",3/1/2012,"02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Unprotected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Dilapidated","Dilapidated","Does not access internet","No",0,0,0,"Rural","07=Open space, park, forest, farm, ranch","01=A few of them","muddy road","98=None",3,,,,"Yes",1,"02=Yes, a written agreement, but not a title deed","05=Currently unused",7000,"",,"","","",,0,"","",,"","",,"","",
"KMOMB01","01=Initial questionnaire","13=Change from renter to owner",12/20/2012,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Electricity","Water vendor",2,2,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Own mobile phone","Yes",3,2,1,"Urban","02=Single family detached houses","01=A few of them","03=Garbage","01=Minor accumulation",1,"Bought plot using credit/loan from bank, SACCO, or MFI","Bought already built using credit/loan from bank, SACCO, MFI","Yes, a written agreement, but not a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMB02","01=Initial questionnaire","09=Other employment related reason,16=Goverment displacement (took land, building condemned)",1/1/2007,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",2,1,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","Yes, own electricity","No major problems","No major problems","Does not access internet","Yes",1,3,2,"Urban","06=Busy road or highway","01=A few of them","01=Open sewage","01=Minor accumulation",1,"Compensation from employer or stata","Built using assets/savings kept elsewhere","Yes, a written agreement, but not a title deed","Yes",2,"03=Yes, a title deed","02=Used by friends and family",100000,"03=Rental or commercial",200000,"02=Yes, a written agreement, but not a title deed","","",,1,"03=Yes, a title deed","04=Agricultural property",80000,"","",,"","",
"KMOMB03","01=Initial questionnaire","09=Other employment related reason,16=Goverment displacement (took land, building condemned)",7/12/2012,"09=None","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Water vendor",3,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Dilapidated","Dilapidated","Own mobile phone","Yes",3,1,1,"Urban","06=Busy road or highway","01=A few of them","03=Garbage","02=Major accumulation",4,"Inherited","Compensation from employer or state","No written agreement","Yes",1,"02=Yes, a written agreement, but not a title deed","03=Rental or commercial,04=Agricultural property",400000,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","05=Currently unused",100000,"","",,"","",
"KMOMB04","01=Initial questionnaire","05=To be closer to family,14=Wanted lower rent or mortgage",1/1/2009,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",1,1,"Pit latrine, covered","Shared","Swahili type house","Yes, from neighbor or unofficial soure","No major problems","No major problems","Does not access internet","Yes",2,2,1,"Urban","05=Commercial or institutional property","01=A few of them","01=Open sewage","02=Major accumulation",5,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMB05","01=Initial questionnaire","05=To be closer to family,15=Needed larger house or apartment",4/1/2009,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",2,1,"Pit latrine, covered","Shared","Swahili type house","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",1,0,1,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"03=Yes, a title deed","01=Personal use",20000,"",,"","","",,1,"03=Yes, a title deed","04=Agricultural property",150000,"","",,"","",
"KMOMB07","02=Move during diaries","12=Wanted better neighborhood",6/2/2013,"09=None","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",2,1,"Pit latrine, uncovered","Shared","Swahili type house","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",1,1,1,"Urban","07=Open space, park, forest, farm, ranch","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"Yes",3,"02=Yes, a written agreement, but not a title deed","02=Used by friends and family",2000000,"",,"","","",,2,"03=Yes, a title deed","04=Agricultural property",1250000,"02=Yes, a written agreement, but not a title deed","05=Currently unused",1400000,"03=Yes, a title deed","02=Used by friends and family",600000
"KMOMB06","01=Initial questionnaire","12=Wanted better neighborhood",11/5/2003,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",3,1,1,"Urban","crowded houses","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"He can acess it anytime he wants","01=Personal use",50000,"",,"","","",,1,"03=Yes, a title deed","02=Used by friends and family,04=Agricultural property",800000,"","",,"","",
"KMOMB08","01=Initial questionnaire","12=Wanted better neighborhood",3/9/2003,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Eats at establishment","Paraffin","Water vendor",1,1,"Pit latrine, covered","Shared","Swahili type house","No access","No major problems","No major problems","Does not access internet","No",1,0,1,"Urban","06=Busy road or highway","01=A few of them","01=Open sewage","there",4,,,,"Yes",1,"01=No written agreement","02=Used by friends and family",80000,"",,"","","",,1,"03=Yes, a title deed","04=Agricultural property",150000,"","",,"","",
"KMOMB10","01=Initial questionnaire","12=Wanted better neighborhood,13=Change from renter to owner",5/15/2013,"09=None","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Electricity","Water vendor",2,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","No major problems","No major problems","Does not access internet","Yes",2,1,1,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","01=Minor accumulation",1,"Compensation from employer or stata","Inherited","Yes, a written agreement, but not a title deed","Yes",1,"no documentation everyone there knows it his home","02=Used by friends and family",8000,"",,"","","",,0,"","",,"","",,"","",
"KMOMB14","01=Initial questionnaire","15=Needed larger house or apartment",2/10/2010,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",1,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","No major problems","No major problems","Does not access internet","No",2,2,0,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","open sewage and garbage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMB16","01=Initial questionnaire","12=Wanted better neighborhood,16=Goverment displacement (took land, building condemned)",3/18/2013,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Electricity","Water vendor",4,3,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","No major problems","Does not access internet","No",3,2,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","04=Very low power lines","01=Minor accumulation",1,"Compensation from employer or stata","Compensation from employer or state","Yes, a written agreement, but not a title deed","Yes",1,"Can have access to it whenever there is need.","01=Personal use",500000,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","02=Used by friends and family",2000000,"","",,"","",
"KMOMB17","01=Initial questionnaire","12=Wanted better neighborhood",1/24/2012,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",1,1,"Pit latrine, covered","Shared","Swahili type house","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Does not access internet","No",2,2,0,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"03=Yes, a title deed","02=Used by friends and family",2000000,"",,"","","",,,"","",,"","",,"","",
"KMOMB18","02=Move during diaries","14=Wanted lower rent or mortgage",9/6/2013,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage,06=Insecure or crumbling walls,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Dry cell","Water vendor",2,2,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","Dilapidated","Dilapidated","Does not access internet","No",3,1,1,"Urban","07=Open space, park, forest, farm, ranch","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMM01","01=Initial questionnaire","12=Wanted better neighborhood,15=Needed larger house or apartment",1/1/1999,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Concrete","Cement/Concrete/Slab","Charcoal","Electricity","Piped into dwelling",4,2,"Cess pool","Private","Flat","Yes, own electricity","No major problems","No major problems","Does not access internet","Yes",4,4,2,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","leaking sewers","98=None",3,,,,"Yes",1,"03=Yes, a title deed","01=Personal use",200000,"",,"","","",,1,"03=Yes, a title deed","04=Agricultural property",700000,"","",,"","",
"KMOMM03","02=Move during diaries","14=Wanted lower rent or mortgage",4/2/2013,"01=Leaky roof or ceilling,07=Extremely hot or cold","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","No major problems","Does not access internet","No",2,2,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","04=Very low power lines","01=Minor accumulation",4,,,,"Yes",1,"","",,"",,"","","",,1,"01=No written agreement","05=Currently unused",80000,"","",,"","",
"KMOMM04","01=Initial questionnaire","15=Needed larger house or apartment",1/1/2007,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Unprotected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","Yes",2,1,1,"Urban","05=Commercial or institutional property","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMM07","01=Initial questionnaire","12=Wanted better neighborhood",8/1/2006,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access",,,"Does not access internet","No",2,2,2,"Urban","","","","",4,,,,"Yes",1,"01=No written agreement","02=Used by friends and family",100000,"",,"","","",,0,"","",,"","",,"","",
"KMOMM06","02=Move during diaries","18=Evicted/foreclosed upon",5/13/2013,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, covered","Shared","Swahili type house",,"No major problems","No major problems","Does not access internet","No",1,1,2,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMM10","01=Initial questionnaire","13=Change from renter to owner",1/1/2010,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Solar","Protected well",2,1,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,1,1,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","02=Major accumulation",1,"Gift from community, family, friends","Built using credit/loan from bank, SACCO, or MFI","Yes, a written agreement, but not a title deed","Yes",0,"","",,"",,"","","",,1,"inherited it from his father","04=Agricultural property",120000,"","",,"","",
"KMOMM11","02=Move during diaries","17=Private displacement (owner moved into unit, unit sold)",9/1/2013,"09=None","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Bush","Shared","Other temporary or semi-permanent structure","Yes, own electricity","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",1,1,0,"Urban","04=Mult- unit residential buildings (flats)","98=None","03=Garbage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMM12","01=Initial questionnaire","12=Wanted better neighborhood,14=Wanted lower rent or mortgage",11/1/2011,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",1,1,1,"Urban","Anumber of rental houses with different tpye of people living in","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"Yes",1,"can have access to it","02=Used by friends and family",75000,"",,"","","",,0,"","",,"","",,"","",
"KMOMM13","01=Initial questionnaire","12=Wanted better neighborhood",1/1/2004,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Bush","Shared","Other temporary or semi-permanent structure","No access",,,"Does not access internet","No",2,1,0,"Urban","","","","",4,,,,"Yes",0,"","",,"",,"","","",,1,"01=No written agreement","04=Agricultural property",1000000,"","",,"","",
"KMOMM15","02=Move during diaries","18=Evicted/foreclosed upon",10/14/2012,"04=Pests: mice, rats, roaches, bedbugs, other insects,06=Insecure or crumbling walls,07=Extremely hot or cold","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Eats at establishment",,"Piped somewhere else (outside, neighbor)",1,1,"Bush","Shared","Shack","No access","Dilapidated","Dilapidated","Does not access internet","No",1,1,0,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","02=Crowded streets and paths","01=Minor accumulation",6,,,,"Yes",1,"01=No written agreement","02=Used by friends and family",18000,"",,"","","",,0,"","",,"","",,"","",
"KMOMM16","01=Initial questionnaire","13=Change from renter to owner",1/1/2003,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Purchased firewood","Paraffin","Protected well",3,1,"Pit latrine, uncovered",,"Other temporary or semi-permanent structure","No access","Dilapidated","No major problems","Does not access internet","No",4,0,1,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","02=Major accumulation",1,"Gift from community, family, friends","Built using credit/loan from elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK31","01=Initial questionnaire","15=Needed larger house or apartment",3/1/2006,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold,08=Mold","Stone","Concrete","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Main sewer","Shared","Flat",,"Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Cyber cafe","Yes",1,1,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"03=Yes, a title deed","02=Used by friends and family",100000,"",,"","","",,,"","",,"","",,"","",
"KNBOK32","01=Initial questionnaire","18=Evicted/foreclosed upon",2/1/2000,"04=Pests: mice, rats, roaches, bedbugs, other insects","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Water vendor",1,1,"Pit latrine, VIP","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",1,3,1,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"Yes",1,"03=Yes, a title deed","03=Rental or commercial",99,"",,"","","",,0,"","",,"","",,"","",
"KNBOM31","01=Initial questionnaire","08=Seeking better business opportunities",1/1/2000,"04=Pests: mice, rats, roaches, bedbugs, other insects","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Paraffin","Electricity","Water vendor",4,2,"Main sewer","Private","House/bungalow","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Does not access internet","No",2,2,1,"Urban","03=Single family attached houses","02=Most of them","03=Garbage","02=Major accumulation",4,,,,"Yes",2,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",200000,"05=Currently unused",100000,"02=Yes, a written agreement, but not a title deed","","",,,"","",,"","",,"","",
"KELDS24","01=Initial questionnaire","18=Evicted/foreclosed upon",8/1/2008,"01=Leaky roof or ceilling","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Protected well",3,2,"Pit latrine, covered","Private","Maisonette/townhouse","No access","No major problems","No major problems","Does not access internet","No",3,0,1,"Rural","05=Commercial or institutional property","98=None","A busy highway","98=None",1,"Bought plot with savings in the bank, SACCO, MFI","Built with savings in bank, SACCO, MFI","Yes, a title deed","Yes",1,"03=Yes, a title deed","04=Agricultural property",45000,"",,"","","",,0,"","",,"","",,"","",
"KELDK36","01=Initial questionnaire","03=Started own household",1/1/1990,"","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Biogas","Paraffin","Unprotected well",2,2,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Office/workplace","Yes",1,1,1,"Rural","Busy road and tea farm","98=None","slippery and muddy paths","98=None",1,"Inherited","Used local materials","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMT25","01=Initial questionnaire","03=Started own household,11=To be closer to work or school",1/2/2012,"03=Broken or missing windows","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Piped somewhere else (outside, neighbor)",3,1,"Pit latrine, uncovered","Private","House/bungalow","No access","No major problems","No major problems","Does not access internet","No",4,2,2,"Rural","07=Open space, park, forest, farm, ranch","98=None","very clean paths","98=None",1,"Inherited","Built with savings in bank, SACCO, MFI","Yes, a written agreement, but not a title deed","Yes",1,"02=Yes, a written agreement, but not a title deed","03=Rental or commercial",300000,"",,"","","",,,"","",,"","",,"","",
"KMAKL36","01=Initial questionnaire","01=No move",9/9/1999,"06=Insecure or crumbling walls","Brick/block","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Unprotected well",3,1,"Pit latrine, uncovered","Shared","House/bungalow","No access","No major problems","No major problems","Does not access internet","No",3,0,0,"Rural","03=Single family attached houses","98=None","no issues","98=None",1,"Inherited","Used local materials","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKL37","01=Initial questionnaire","01=No move",9/9/1999,"","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Paraffin","Unprotected well",,,,,,,,,,,,,,"Rural","","","","",,"Inherited","Used local materials","No written agreement",,,"","",,"",,"","","",,,"","",,"","",,"","",
"KVIHC36","01=Initial questionnaire","02=Marriage,03=Started own household,05=To be closer to family",12/1/1968,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Purchased firewood","Paraffin","Protected spring",4,1,"Pit latrine, uncovered","Private","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,1,1,"Rural","02=Single family detached houses","98=None","dusty rough road","98=None",1,"Inherited","Built with savings in bank, SACCO, MFI","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMK13","01=Initial questionnaire","01=No move",9/9/1999,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,06=Insecure or crumbling walls","Mud/cement","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Borehole",2,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",4,0,2,"Rural","02=Single family detached houses","01=A few of them","","98=None",1,"Inherited","Used local materials","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMK14","01=Initial questionnaire","01=No move",1/1/1999,"01=Leaky roof or ceilling,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,06=Insecure or crumbling walls,07=Extremely hot or cold","Mud/wood","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Borehole",4,0,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","Needs substantial painting, refilling, repair","Own mobile phone","No",4,3,1,"Rural","02=Single family detached houses","02=Most of them","nothing, its mainly gras and trees","01=Minor accumulation",1,"Inherited","Built using assets/savings kept elsewhere","Yes, a written agreement, but not a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMK15","01=Initial questionnaire","03=Started own household,13=Change from renter to owner",11/1/2007,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Electricity","Piped into dwelling",4,3,"Septic tank","Private","House/bungalow","Yes, own electricity","No major problems","No major problems","Own mobile phone","Yes",8,14,3,"Rural","07=Open space, park, forest, farm, ranch","98=None","its majorly bush","01=Minor accumulation",1,"Bought plot using credit/loan from elsewhere","Built with savings in bank, SACCO, MFI","Yes, a title deed","Yes",1,"02=Yes, a written agreement, but not a title deed","03=Rental or commercial",6000000,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",1500000,"","",,"","",
"KMOMK16","01=Initial questionnaire","04=Widowed, divorced, or separated",3/1/2011,"04=Pests: mice, rats, roaches, bedbugs, other insects,06=Insecure or crumbling walls","Mud/cement","Grass, thatch, makuti","Earth/Cowdung","Collected firewood","Paraffin","Borehole",2,0,"Bush",,"Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",4,1,2,"Rural","02=Single family detached houses","01=A few of them","","98=None",1,"Inherited","Gifts from community, family, friends","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMAKL38","01=Initial questionnaire","02=Marriage",8/2/1997,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Purchased firewood","Paraffin","Stream/River",4,2,"Pit latrine, covered","Private","House/bungalow","No access","No major problems","No major problems","Does not access internet","No",0,3,0,"Rural","03=Single family attached houses","01=A few of them","no issues","98=None",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDK37","01=Initial questionnaire","02=Marriage",1/1/2008,"04=Pests: mice, rats, roaches, bedbugs, other insects,08=Mold","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Purchased firewood","Solar","Protected well",2,3,"Pit latrine, covered","Private","House/bungalow","No access","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",1,2,1,"Rural","07=Open space, park, forest, farm, ranch","03=There are no buildings within 100meters","bushy and slippery","98=None",5,,,,"Yes",1,"02=Yes, a written agreement, but not a title deed","01=Personal use",100000,"",,"","","",,,"","",,"","",,"","",
"KELDK38","01=Initial questionnaire","07=New job or job transfer",1/1/1998,"08=Mold","Mud/wood","Corrugated iron, mabati","Cement/Concrete/Slab","Purchased firewood","Electricity","Unprotected well",5,2,"Pit latrine, covered","Private","House/bungalow","Yes, own electricity","No major problems","No major problems","Own house connection through cable, dialup, mobile modem","Yes",1,3,1,"Rural","02=Single family detached houses","01=A few of them","Muddy roads","98=None",1,"Bought plot using assets/savings kept elsewhere","Used local materials","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KMOMM25","01=Initial questionnaire","13=Change from renter to owner",12/1/2011,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Other","Other","Earth/Cowdung","Charcoal","Paraffin","Unprotected well",1,1,"Bush","Shared","Shack","No access","Dilapidated","Dilapidated","Does not access internet","No",1,0,1,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","02=Major accumulation",1,"Land grab","Gifts from community, family, friends","No written agreement","Yes",1,"01=No written agreement","05=Currently unused",7000,"",,"","","",,0,"","",,"","",,"","",
